Label	Best_Match
allergy	allergens
Animal pests	animal tests
assisted reproductive techniques	assisted reproductive technologies
base	bagasse
base pair	base pair mismatch
base editing	gene editing
bioeconomy	bioeconomics
bioengineered food	bioengineering
bioinsecticides	insecticides
biomanufacturing	manufacturing
biopharming	swarming
Bt crops	root crops
cisgenic organisms	benthic organisms
conventional breeding	conventional farming
CRISPR	Acris
cultivar	cultivars
deoxyribonucleic acid	deoxyribonucleosides
DNA sequencing	cropping sequence
enzyme	enzymes
epigenetic marks	genetic markers
event	life events
field trials	variety trials
gene drives	benzene derivatives
gene mapping	message mapping
gene sequencing	gene silencing
genomes	genome
genome editing	gene editing
genomic selection	genetic selection
herbicide	herbicides
herbicide tolerance	acid tolerance
herbicide-resistant crops	herbicide-resistant weeds
heritable traits	titratable acidity
heterozygous	heterozygosity
homozygous	homozygosity
hybrid	hybrids
hybrid vigor	hybrids
inbred	inbreeding
insect-resistant crops	insect resistance
insecticide resistance management	insecticide resistance
knock-out	knockout mutants
low-level presence	disease prevalence
mutations	mutation
off-target effect	edge effects
on-target effects	edge effects
organic agriculture	urban agriculture
plant regeneration	germplasm regeneration
promoters	Proteromonadida
recombinant DNA technology	recombinant DNA
refuges	refugees
ribonucleic acid	nucleic acids
selectable markers	dietary markers
traditional breeding	traditional medicine
trait	Chitra
transgenic organisms	benthic organisms
